roll_deg,pitch_deg,yaw_deg
-2.93,-0.22,-1.43
-2.93,-0.19,-1.60
-2.94,-0.17,-1.77
-2.96,-0.14,-2.00
-2.96,-0.11,-2.24
-2.95,-0.08,-2.48
-2.95,-0.07,-2.71
-2.99,-0.18,-2.88
-3.04,-0.25,-2.89
-3.07,-0.27,-2.86
-3.11,-0.28,-2.81
3.12,-0.28,-2.70
3.08,-0.29,-2.60
3.06,-0.29,-2.50
3.04,-0.29,-2.43
3.01,-0.30,-2.36
2.99,-0.30,-2.32
2.98,-0.33,-2.30
3.00,-0.34,-2.28
3.04,-0.35,-2.28
3.07,-0.35,-2.28
3.10,-0.35,-2.28
3.11,-0.35,-2.26
3.07,-0.34,-2.23
3.03,-0.34,-2.22
3.00,-0.34,-2.21
2.97,-0.34,-2.22
2.98,-0.33,-2.23
3.00,-0.33,-2.24
